Holes,Strengths
AKs,0.67125
AQs,0.65905
AJs,0.65405
ATs,0.6549
A9s,0.6246
A8s,0.6245
A7s,0.61045
A6s,0.59885
A5s,0.60505
A4s,0.58805
A3s,0.5788
A2s,0.57555
KQs,0.63
KJs,0.6284
KTs,0.619
K9s,0.59805
K8s,0.58385
K7s,0.57635
K6s,0.5643
K5s,0.549
K4s,0.54995
K3s,0.5289
K2s,0.5224
QJs,0.60435
QTs,0.58665
Q9s,0.58335
Q8s,0.55415
Q7s,0.54365
Q6s,0.54245
Q5s,0.52255
Q4s,0.5151
Q3s,0.5078
Q2s,0.5002
JTs,0.57035
J9s,0.55535
J8s,0.54015
J7s,0.52665
J6s,0.50035
J5s,0.50055
J4s,0.49125
J3s,0.47625
J2s,0.4527
T9s,0.5439
T8s,0.52165
T7s,0.50215
T6s,0.48585
T5s,0.46815
T4s,0.46325
T3s,0.46055
T2s,0.4511
98s,0.50505
97s,0.48665
96s,0.48065
95s,0.4549
94s,0.43245
93s,0.43575
92s,0.4276
87s,0.4842
86s,0.4657
85s,0.4425
84s,0.43215
83s,0.4119
82s,0.4032
76s,0.4619
75s,0.43325
74s,0.42135
73s,0.40885
72s,0.38715
65s,0.4407
64s,0.41215
63s,0.39795
62s,0.3775
54s,0.41485
53s,0.3947
52s,0.38215
43s,0.3892
42s,0.3643
32s,0.3597
AKo,0.65475
AQo,0.64125
AJo,0.6339
ATo,0.6309
A9o,0.5996
A8o,0.5984
A7o,0.59195
A6o,0.5796
A5o,0.574
A4o,0.5643
A3o,0.55345
A2o,0.54225
KQo,0.61195
KJo,0.6019
KTo,0.59975
K9o,0.57985
K8o,0.5617
K7o,0.55155
K6o,0.5364
K5o,0.53035
K4o,0.52725
K3o,0.5156
K2o,0.5025
QJo,0.58525
QTo,0.57225
Q9o,0.55115
Q8o,0.53425
Q7o,0.52605
Q6o,0.5186
Q5o,0.4908
Q4o,0.4895
Q3o,0.4772
Q2o,0.48305
JTo,0.55285
J9o,0.53685
J8o,0.51485
J7o,0.49675
J6o,0.47905
J5o,0.4687
J4o,0.4584
J3o,0.45575
J2o,0.4391
T9o,0.51255
T8o,0.50015
T7o,0.4733
T6o,0.4555
T5o,0.4418
T4o,0.4314
T3o,0.42485
T2o,0.41885
98o,0.48275
97o,0.4748
96o,0.441
95o,0.43175
94o,0.41015
93o,0.40105
92o,0.389
87o,0.4543
86o,0.4296
85o,0.4124
84o,0.40145
83o,0.3677
82o,0.3636
76o,0.42285
75o,0.40895
74o,0.3741
73o,0.368
72o,0.34175
65o,0.40495
64o,0.3778
63o,0.3593
62o,0.3408
54o,0.37745
53o,0.3663
52o,0.3404
43o,0.35315
42o,0.33225
32o,0.32655
AAo,0.85085
KKo,0.82495
QQo,0.79285
JJo,0.78605
TTo,0.74995
99o,0.7319
88o,0.6953
77o,0.6651
66o,0.6241
55o,0.60545
44o,0.5729
33o,0.539
22o,0.5095
